time,epoch,batch,loss,batch_time,
2020/05/20 10:00:30,0,0,1453.567993,3.049529,
2020/05/20 10:00:32,0,1,1217.889038,1.969342,
2020/05/20 10:00:34,0,2,1012.739075,1.977343,
2020/05/20 10:00:36,0,3,678.553894,1.983845,
2020/05/20 10:00:38,0,4,452.573761,1.984345,
2020/05/20 10:00:40,0,5,387.398193,2.000347,
2020/05/20 10:00:42,0,6,373.169098,1.960840,
2020/05/20 10:00:44,0,7,373.271637,1.932835,
2020/05/20 10:00:46,0,8,367.198486,1.945838,
2020/05/20 10:00:47,0,9,356.646912,1.937337,
2020/05/20 10:00:49,0,10,353.001221,1.951339,
2020/05/20 10:00:51,0,11,347.367157,2.079861,
2020/05/20 10:00:54,0,12,344.988373,2.022352,
2020/05/20 10:00:55,0,13,343.851318,1.927835,
2020/05/20 10:00:57,0,14,337.770508,1.924834,
2020/05/20 10:00:59,0,15,331.449310,1.927335,
2020/05/20 10:01:01,0,16,332.527252,1.965842,
2020/05/20 10:01:03,0,17,331.261444,2.033853,
2020/05/20 10:01:05,0,18,322.622253,1.961340,
2020/05/20 10:01:07,0,19,322.260986,1.960341,
2020/05/20 10:01:09,0,20,317.908600,1.980844,
2020/05/20 10:01:11,0,21,321.379791,1.968342,
2020/05/20 10:01:13,0,22,315.368622,2.036355,
2020/05/20 10:01:15,0,23,314.569824,2.001348,
2020/05/20 10:01:17,0,24,311.760742,1.965342,
2020/05/20 10:01:19,0,25,307.181610,1.939837,
2020/05/20 10:01:21,0,26,308.235596,1.931335,
2020/05/20 10:01:23,0,27,303.140625,1.935336,
2020/05/20 10:01:25,0,28,302.847260,1.902330,
2020/05/20 10:01:27,0,29,301.788330,1.915833,
2020/05/20 10:01:29,0,30,303.945953,1.913832,
2020/05/20 10:01:31,0,31,297.783234,1.885828,
2020/05/20 10:01:55,1,0,297.212097,1.986844,
2020/05/20 10:01:57,1,1,296.738312,2.009849,
2020/05/20 10:01:59,1,2,294.831299,1.960840,
2020/05/20 10:02:01,1,3,294.487762,1.958340,
2020/05/20 10:02:03,1,4,292.249390,1.924335,
2020/05/20 10:02:05,1,5,290.861084,1.937836,
2020/05/20 10:02:07,1,6,292.482025,1.961841,
2020/05/20 10:02:09,1,7,287.531921,1.910833,
2020/05/20 10:02:11,1,8,291.185242,1.974844,
2020/05/20 10:02:13,1,9,290.467377,1.900840,
2020/05/20 10:02:15,1,10,292.592957,1.910331,
2020/05/20 10:02:17,1,11,287.382812,1.905831,
2020/05/20 10:02:18,1,12,285.192047,1.896829,
2020/05/20 10:02:20,1,13,282.468262,1.891328,
2020/05/20 10:02:22,1,14,281.087158,1.885835,
2020/05/20 10:02:24,1,15,278.154633,1.880327,
2020/05/20 10:02:26,1,16,278.249939,1.901831,
2020/05/20 10:02:28,1,17,278.971313,1.892329,
2020/05/20 10:02:30,1,18,277.761200,1.905331,
2020/05/20 10:02:32,1,19,278.323212,1.887816,
2020/05/20 10:02:34,1,20,277.662933,1.897329,
2020/05/20 10:02:35,1,21,274.454651,1.907331,
2020/05/20 10:02:37,1,22,274.680206,1.886328,
2020/05/20 10:02:39,1,23,274.215210,1.893829,
2020/05/20 10:02:41,1,24,273.025360,1.890828,
2020/05/20 10:02:43,1,25,269.764160,1.893829,
2020/05/20 10:02:45,1,26,267.764099,1.902830,
2020/05/20 10:02:47,1,27,267.874054,1.890829,
2020/05/20 10:02:49,1,28,264.794220,1.892329,
2020/05/20 10:02:51,1,29,265.078796,1.887327,
2020/05/20 10:02:53,1,30,263.982666,1.893328,
2020/05/20 10:02:54,1,31,264.449890,1.895329,
2020/05/20 10:03:20,2,0,265.171631,1.969843,
